"名称","ふりがな","所在地","電話番号","FAX","URL","備考","大分類__","中分類__","小分類__","経度","緯度"
"ぽけっと工房","","東京都三鷹市牟礼1−18−13ハイツ白樺３号棟１階","0422-26-7123","","","","福祉・介護施設","障がい者施設","障がい者施設","139.58524216","35.68488005"
"介護老人保健施設「三鷹ロイヤルの丘」","","東京都三鷹市新川5−6−24","0422‐71‐2012","","","","福祉・介護施設","高齢者施設","介護施設","139.57094756","35.67492103"
"井口小学童保育所A","","東京都三鷹市井口3-7-64","0422-31-0377","0422-31-0377","","","保育・教育施設","学童保育所","学童保育所","139.54376318","35.69169006"
"井口小学童保育所B","","東京都三鷹市井口3-7-64","0422-31-6680","0422-31-6680","","","保育・教育施設","学童保育所","学童保育所","139.54376335","35.69164274"
"まなびの森保育園三鷹","","東京都三鷹市新川6-5-15","0422-76-0708","","","","保育・教育施設","私立保育園","私立保育園","139.56852809","35.68232626"
"ケンパ井の頭","","東京都三鷹市井の頭1-14-5","0422-70-0960","","","","保育・教育施設","私立保育園","私立保育園","139.58980098","35.69065815"
"リトルキッズファースト保育園","","東京都三鷹市井口１-10-19","0422-34-7200","","","","保育・教育施設","私立保育園","私立保育園","139.54989963","35.69010123"
"ポピンズナーサリースクール三鷹南","","東京都三鷹市下連雀4-16-16","0422-70-1620","","","","保育・教育施設","私立保育園","私立保育園","139.56103383","35.69547071"
"三鷹もりのこ保育園","","東京都三鷹市上連雀2-16-1","0422-43-1195","","","","保育・教育施設","私立保育園","私立保育園","139.55680209","35.70214533"
"第一駐車場&lt;民営&gt;","","東京都三鷹市下連雀3-13-10","","","","","その他","駐輪場・公共駐車場・自転車保管場所","公共駐車場","139.56292650","35.69953530"
"ウェルビー三鷹センター","","東京都三鷹市下連雀3−32−3名取屋興産ビル305号室","0422-40-4800","","","","福祉・介護施設","障がい者施設","障がい者施設","139.56096408","35.69892027"
"ウイングみたか","","東京都三鷹市野崎1−7−21ユニパレス三鷹１階","0422-26-7861","0422-26-7862","","","福祉・介護施設","障がい者施設","障がい者施設","139.55519709","35.68356892"
"第二椎の実子供の家","","東京都三鷹市上連雀6-25-31","0422-44-4103","","","","保育・教育施設","私立保育園","私立保育園","139.55692423","35.69223844"
"にじいろ保育園三鷹下連雀","","東京都三鷹市下連雀1-4-22","0422-26-5684","","","","保育・教育施設","私立保育園","私立保育園","139.57052430","35.69152176"
"にじいろ保育園三鷹新川","","東京都三鷹市新川6-33-15","0422-26-7402","","","","保育・教育施設","私立保育園","私立保育園","139.56485769","35.68338420"
"三小学童保育所A","","東京都三鷹市上連雀4-12-33","0422-44-5123","0422-44-5123","","","保育・教育施設","学童保育所","学童保育所","139.55710871","35.69587283"
"三小学童保育所B","","東京都三鷹市上連雀4-12-33","0422-44-5216","0422-44-5216","","","保育・教育施設","学童保育所","学童保育所","139.55714629","35.69586218"
"中原小学童保育所B","","東京都三鷹市中原2-12-13","0422-71-7231","0422-71-7231","","","保育・教育施設","学童保育所","学童保育所","139.57065935","35.66976546"
"高山小学童保育所A","","東京都三鷹市牟礼4-3-16","0422-46-2088","0422-46-2088","","","保育・教育施設","学童保育所","学童保育所","139.57816000","35.69074502"
"高山小学童保育所B","","東京都三鷹市牟礼4-3-16","0422-47-1674","0422-47-1674","","","保育・教育施設","学童保育所","学童保育所","139.57820249","35.69072889"
"五小学童保育所","","東京都三鷹市井の頭2-21-18","0422-47-8572","0422-47-8572","","","保育・教育施設","学童保育所","学童保育所","139.58442233","35.69122375"
"三鷹ひまわり第一共同作業所","","東京都三鷹市下連雀4-8-20","0422-76-0388","0422-76-0387","http://www.m-himawari.net/","","福祉・介護施設","障がい者施設","障がい者施設","139.56267610","35.69266693"
"なかよし教室","","東京都三鷹市井の頭2-21-18","0422-43-8135","0422-67-0271","http://www.geocities.jp/nponakayoshi/","","福祉・介護施設","障がい者施設","障がい者施設","139.58443973","35.69132746"
"野の花","","東京都三鷹市野崎2−6−42","0422-34-2761","","","","福祉・介護施設","障がい者施設","障がい者施設","139.54871485","35.68352711"
"羽沢小学校","","東京都三鷹市大沢4-9-1","0422-32-8431","","","","保育・教育施設","市立小学校・中学校","小学校","139.53830163","35.67026272"
"ＧreenApple","","東京都三鷹市深大寺3−10−39","0422-34-4567","","","","福祉・介護施設","障がい者施設","障がい者施設","139.53782352","35.68925186"
"にじいろ保育園三鷹牟礼","","東京都三鷹市牟礼1-14-27","","","","","保育・教育施設","私立保育園","私立保育園","139.58806187","35.68559630"
"牟礼の森トキ保育園","","東京都三鷹市牟礼4-2-19","","","","","保育・教育施設","私立保育園","私立保育園","139.57862673","35.69060588"
"三鷹赤とんぼ保育園","","三鷹市牟礼3-9-3","","","","","保育・教育施設","私立保育園","私立保育園","139.58075487","35.68825702"
"三鷹南浦西保育園","","東京都三鷹市下連雀7-2-1","","","","社会福祉法人三鷹市社会福祉事業団","保育・教育施設","私立保育園","私立保育園","139.56397369","35.68899581"
"いずみ保育園","","東京都三鷹市大沢3-5-4","","","","","保育・教育施設","私立保育園","私立保育園","139.53359132","35.68167955"
"第二小羊チャイルドセンター","","三鷹市北野3-10-14","","","","","保育・教育施設","私立保育園","私立保育園","139.57992605","35.67992090"
"五小学童保育所Ａ","","東京都三鷹市井の頭2-21-18","0422-47-8572","","","","保育・教育施設","学童保育所","学童保育所","139.58443172","35.69122180"
"五小学童保育所Ｂ","","東京都三鷹市井の頭2-21-18","0422-47-8573","","","","保育・教育施設","学童保育所","学童保育所","139.58443863","35.69122181"
"東台小学童保育所Ａ","","東京都三鷹市中原2-17-37","0422-46-8004","","","","保育・教育施設","学童保育所","学童保育所","139.57211902","35.66743316"
"東台小学童保育所Ｂ","","東京都三鷹市中原2-17-37","0422-46-9220","","","","保育・教育施設","学童保育所","学童保育所","139.57211212","35.66743314"
"連雀学園学童保育所","","東京都三鷹市下連雀7-10-15","0422-42-2127","","","","保育・教育施設","学童保育所","学童保育所","139.56090030","35.68809809"
"高山小学童保育所Ｃ","","東京都三鷹市牟礼3-10-24","未定（３月頃決定）","","","","保育・教育施設","学童保育所","学童保育所","139.57866437","35.69010216"
"教育センター暫定施設","きょういくせんたーざんていしせつ","三鷹市新川六丁目３５番２８号（旧総合保健センター）","0422-45-1151（内線　3251）","0422-43-0320","","","市役所・市政窓口等","市役所・市政窓口","教育センター","139.56386685","35.68233156"
"三鷹市役所","","東京都三鷹市野崎1-1-1","0422-45-1151","","http://www.city.mitaka.tokyo.jp/c_service/001/001618.html","","市役所・市政窓口等","市役所・市政窓口","市役所","139.55991368","35.68334434"
"三鷹駅前市政窓口","","東京都三鷹市下連雀3-24-3-202","0422-42-5678","","http://www.city.mitaka.tokyo.jp/c_service/001/001621.html","","市役所・市政窓口等","市役所・市政窓口","市政窓口","139.56211705","35.70183772"
"三鷹台市政窓口","","東京都三鷹市井の頭2-13-2","0422-42-0511","","http://www.city.mitaka.tokyo.jp/c_service/001/001621.html","","市役所・市政窓口等","市役所・市政窓口","市政窓口","139.58728671","35.69179632"
"三鷹東部市政窓口","","東京都三鷹市中原1-29-35","03-3326-8805","","http://www.city.mitaka.tokyo.jp/c_service/001/001621.html","","市役所・市政窓口等","市役所・市政窓口","市政窓口","139.57598776","35.66725488"
"三鷹西部市政窓口","","東京都三鷹市野崎3-28-11","0422-33-4531","","http://www.city.mitaka.tokyo.jp/c_service/001/001621.html","","市役所・市政窓口等","市役所・市政窓口","市政窓口","139.53898413","35.68390592"
"三鷹市芸術文化センター","","東京都三鷹市上連雀6-12-14","0422-47-9100","0422-47-6700","http://mitaka.jpn.org/geibun/","風のホール(625席)、星のホール(250席)、創作展示室、音楽練習室などをあわせ持つ複合施設","生涯学習・文化施設","文化施設","文化・教養・厚生施設","139.55823714","35.69280643"
"中央保育園","","東京都三鷹市上連雀6-11-16","0422-40-7540","0422-40-7541","","","保育・教育施設","市立保育園","市立保育園","139.55898475","35.69223465"
"南浦東保育園","","東京都三鷹市下連雀6-12-1","0422-40-7166","0422-40-7167","","","保育・教育施設","市立保育園","市立保育園","139.56561193","35.68747153"
"あけぼの保育園","","東京都三鷹市上連雀4-11-21","0422-40-7555","0422-40-7556","","","保育・教育施設","市立保育園","市立保育園","139.55707719","35.69407826"
"三鷹西野保育園","","東京都三鷹市深大寺3-3-10","0422-39-7030","0422-39-7031","","平成27.4より公私連携型保育園（私立）になりました。","保育・教育施設","私立保育園","私立保育園","139.53657402","35.69183596"
"山中保育園","","東京都三鷹市上連雀7-19-1-100","0422-40-7542","0422-40-7543","","","保育・教育施設","市立保育園","市立保育園","139.55212208","35.68986980"
"中原保育園","","東京都三鷹市中原4-35-4-101","0422-40-7170","0422-40-7171","","","保育・教育施設","市立保育園","市立保育園","139.56591844","35.66899932"
"下連雀保育園","","東京都三鷹市下連雀4-19-4","0422-40-7160","0422-40-7161","","","保育・教育施設","市立保育園","市立保育園","139.56029013","35.69626910"
"上連雀保育園","","東京都三鷹市上連雀5-1-27","0422-40-7168","0422-40-7169","","","保育・教育施設","市立保育園","市立保育園","139.55383748","35.69864606"
"野崎保育園","","東京都三鷹市野崎3-12-11","0422-39-7050","0422-39-7051","","","保育・教育施設","市立保育園","市立保育園","139.54337558","35.68592021"
"社会教育会館","","東京都三鷹市下連雀6-13-13","0422-49-2521","0422-43-0334","http://www.city.mitaka.tokyo.jp/c_sections/shakyo/index.html","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.56520491","35.68884427"
"東社会教育会館","","東京都三鷹市牟礼2-13-19","0422-46-0408","0422-46-7070","http://www.city.mitaka.tokyo.jp/c_service/001/001683.html","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.58468053","35.68434009"
"西社会教育会館","","東京都三鷹市深大寺2-3-5","0422-32-8765","0422-32-8844","http://www.city.mitaka.tokyo.jp/c_service/001/001684.html","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.54513272","35.68873144"
"みたか井心亭","","東京都三鷹市下連雀2-10-48","0422-46-3922","0422-46-3922","http://mitaka.jpn.org/seishin/","茶室を中心とした和風文化施設。茶道、華道、歌会などに利用できます。","生涯学習・文化施設","文化施設","文化・教養・厚生施設","139.56694524","35.69669823"
"三鷹市公会堂","","東京都三鷹市野崎1-1-1(市民センター内)","0422-45-1151内線2555","0422-43-6146","http://mitaka.jpn.org/kokaido/","大ホール(719席)のほか、11室の会議室と多目的会議室２室をご利用できます。","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.55890597","35.68319273"
"大沢コミュニティ・センター","","東京都三鷹市大沢4-25-30","0422-32-6986","0422-32-6924","http://www.city.mitaka.tokyo.jp/c_service/001/001694.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.53729489","35.66858460"
"牟礼コミュニティ・センター","","東京都三鷹市牟礼7-6-25","0422-49-3441","0422-49-3442","http://www.city.mitaka.tokyo.jp/c_service/001/001695.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.57476005","35.68490576"
"井口コミュニティ・センター","","東京都三鷹市井口1-13-32","0422-32-7141","0422-32-7142","http://www.city.mitaka.tokyo.jp/c_service/001/001696.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.54858394","35.69339111"
"井の頭コミュニティ・センター","","東京都三鷹市井の頭2-32-30","0422-44-7321","0422-44-7322","http://www.city.mitaka.tokyo.jp/c_service/001/001697.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.58348195","35.69402897"
"新川中原コミュニティ・センター","","東京都三鷹市新川1-11-1","0422-49-6568","0422-49-6569","http://www.city.mitaka.tokyo.jp/c_service/001/001698.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.57590560","35.66888760"
"連雀コミュニティ・センター","","東京都三鷹市下連雀7-15-4","0422-45-5100","0422-76-0055","http://www.mitakacc.jcomoffice.jp/~renjk-cc/","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.56092092","35.69251254"
"三鷹駅前コミュニティ・センター","","東京都三鷹市下連雀3-13-10","0422-71-0025","0422-71-0027","http://www.city.mitaka.tokyo.jp/c_service/001/001693.html","","生涯学習・文化施設","コミュニティー・センター","コミュニティー・センター","139.56307636","35.69952051"
"三鷹市山本有三記念館","","東京都三鷹市下連雀2-12-27","0422-42-6233","0422-41-9827","http://mitaka.jpn.org/yuzo/","「路傍の石」や「真実一路」などを書いた作家、山本有三の旧邸である洋風建築。","生涯学習・文化施設","文化施設","文化・教養・厚生施設","139.56770106","35.69956293"
"三鷹図書館（本館）","","東京都三鷹市上連雀8-3-3","0422-43-9151","0422-43-0332","http://www.city.mitaka.tokyo.jp/c_sections/tosho/index.html","","図書館","図書館","図書館","139.55808345","35.68526328"
"東部図書館","","東京都三鷹市牟礼5-8-16","0422-49-3851","0422-46-3488","http://www.city.mitaka.tokyo.jp/c_sections/tosho/index.html","","図書館","図書館","図書館","139.57865181","35.68275611"
"西部図書館","","東京都三鷹市大沢2-6-47","0422-33-1311","0422-33-1356","http://www.city.mitaka.tokyo.jp/c_sections/tosho/index.html","","図書館","図書館","図書館","139.53574652","35.68098016"
"三鷹駅前図書館","","東京都三鷹市下連雀3-13-10","0422-71-0035","0422-71-0034","http://www.city.mitaka.tokyo.jp/c_sections/tosho/index.html","","図書館","図書館","図書館","139.56313506","35.69931483"
"三鷹市美術ギャラリー","","東京都三鷹市下連雀3-35-1（コラル５階）","0422-79-0033","0422-79-0030","http://mitaka.jpn.org/gallery/","南口駅前コラル５階に立地し、企画展開催のほか、市民の皆様の作品発表の場として貸し出し致します。","生涯学習・文化施設","文化施設","美術館","139.56078047","35.70167740"
"市民総合体育館","","東京都三鷹市野崎1-1-1（市民センター内）","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001656.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.55892239","35.68263620"
"大沢総合グラウンド","","東京都三鷹市大沢5-7-1","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001658.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.53262044","35.66902691"
"大沢野川グラウンド","","東京都三鷹市大沢5-21-12","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001667.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.53255637","35.67172062"
"井口特設グラウンド","","東京都三鷹市井口1-6","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001661.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.54979665","35.69300848"
"新川テニスコート","","東京都三鷹市新川6-23-13","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001662.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.56646184","35.68048394"
"下連雀ゲートボール場","","東京都三鷹市下連雀9-9-2","0422-45-1151","0422-45-1167","http://www.city.mitaka.tokyo.jp/c_service/001/001663.html","","スポーツ施設","スポーツ施設","スポーツ施設","139.55916044","35.68591183"
"リサイクル市民工房","","東京都三鷹市深大寺2-16-13","0422-34-3196","0422-34-3196","http://www.city.mitaka.tokyo.jp/c_service/000/000628.html","","市役所・市政窓口等","市の施設以外の官公庁等","ごみ処理施設","139.54269460","35.68920542"
"第一小学校","","東京都三鷹市新川6-4-32","0422-43-1177","","","","保育・教育施設","市立小学校・中学校","小学校","139.57018255","35.68212095"
"第二小学校","","東京都三鷹市野崎3-19-1","0422-32-3231","","","","保育・教育施設","市立小学校・中学校","小学校","139.54224409","35.68561971"
"第三小学校","","東京都三鷹市上連雀4-12-3","0422-43-2128","","","","保育・教育施設","市立小学校・中学校","小学校","139.55755008","35.69576208"
"第四小学校","","東京都三鷹市下連雀1-25-1","0422-44-5373","","","","保育・教育施設","市立小学校・中学校","小学校","139.56866714","35.69550341"
"第五小学校","","東京都三鷹市井の頭2-34-21","0422-45-4171","","","","保育・教育施設","市立小学校・中学校","小学校","139.58193313","35.69281207"
"第六小学校","","東京都三鷹市下連雀6-13-1","0422-44-6376","","","","保育・教育施設","市立小学校・中学校","小学校","139.56547370","35.68835413"
"第七小学校","","東京都三鷹市上連雀7-7-7","0422-44-5378","","","","保育・教育施設","市立小学校・中学校","小学校","139.55478163","35.69280344"
"大沢台小学校","","東京都三鷹市大沢2-6-18","0422-32-2175","","","","保育・教育施設","市立小学校・中学校","小学校","139.53636950","35.68015927"
"高山小学校","","東京都三鷹市牟礼4-6-12","0422-45-3275","","","","保育・教育施設","市立小学校・中学校","小学校","139.57716485","35.68977718"
"南浦小学校","","東京都三鷹市下連雀9-9-1","0422-44-6385","","","","保育・教育施設","市立小学校・中学校","小学校","139.55999676","35.68609824"
"中原小学校","","東京都三鷹市中原2-12-13","0422-45-2215","","","","保育・教育施設","市立小学校・中学校","小学校","139.57121314","35.67033161"
"北野小学校","","東京都三鷹市北野3-1-5","0422-47-0551","","","","保育・教育施設","市立小学校・中学校","小学校","139.58212664","35.67960556"
"井口小学校","","東京都三鷹市井口3-7-11","0422-31-5521","","","","保育・教育施設","市立小学校・中学校","小学校","139.54444933","35.69228312"
"東台小学校","","東京都三鷹市中原2-17-37","0422-47-7457","","","","保育・教育施設","市立小学校・中学校","小学校","139.57192807","35.66734682"
"第一中学校","","東京都三鷹市下連雀9-10-1","0422-44-5371","","","","保育・教育施設","市立小学校・中学校","中学校","139.55976893","35.68530432"
"第二中学校","","東京都三鷹市野崎3-14-1","0422-31-6372","","","","保育・教育施設","市立小学校・中学校","中学校","139.54370420","35.68727237"
"第三中学校","","東京都三鷹市牟礼4-13-8","0422-44-6181","","","","保育・教育施設","市立小学校・中学校","中学校","139.57555011","35.69172312"
"第四中学校","","東京都三鷹市上連雀4-18-7","0422-43-9141","","","","保育・教育施設","市立小学校・中学校","中学校","139.55630327","35.69618830"
"第五中学校","","東京都三鷹市新川1-7-20","0422-45-3201","","","","保育・教育施設","市立小学校・中学校","中学校","139.57729240","35.67089941"
"第六中学校","","東京都三鷹市新川2-12-17","0422-49-1833","","","","保育・教育施設","市立小学校・中学校","中学校","139.57579513","35.68089924"
"第七中学校","","東京都三鷹市大沢2-11-12","0422-31-1118","","","","保育・教育施設","市立小学校・中学校","中学校","139.53266392","35.67752447"
"上連雀交通公園","","東京都三鷹市上連雀7-8-13","0422-48-8780","","http://www.city.mitaka.tokyo.jp/c_service/001/001394.html","","環境関連施設","都市公園・広場","都市公園・広場","139.55333183","35.69343813"
"中原スポーツ児童遊園","","東京都三鷹市中原4-34-1","0422-45-1151","0422-45-1167","","","環境関連施設","都市公園・広場","都市公園・広場","139.56642261","35.66877896"
"堀合児童公園","","東京都三鷹市上連雀1-15-11","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55250212","35.70295474"
"上連雀児童公園","","東京都三鷹市上連雀4-26-6","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55537550","35.69745953"
"水源の森あけぼのふれあい公園","","東京都三鷹市上連雀5-16-30","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55254173","35.69755355"
"連雀中央公園","","東京都三鷹市上連雀6-14-1","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55803001","35.69154347"
"上連雀みなみ児童公園","","東京都三鷹市上連雀9-29-24","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55079892","35.68415191"
"むらさき児童公園","","東京都三鷹市下連雀2-10-22","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56696202","35.69466126"
"有三記念公園","","東京都三鷹市下連雀2-12-27","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56768458","35.69925976"
"下連雀児童公園","","東京都三鷹市下連雀3-6-18","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56426638","35.69893620"
"下連雀しらかば児童公園","","東京都三鷹市下連雀4-6-11","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56391512","35.69313041"
"下連雀きたうら児童公園","","東京都三鷹市下連雀4-19-9","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56038594","35.69563487"
"下連雀みなみうら児童公園","","東京都三鷹市下連雀6-6-55","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56731390","35.68940656"
"下連雀けやき広場","","東京都三鷹市下連雀7-5-4","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56255260","35.68957641"
"下連雀鷹の子児童公園","","東京都三鷹市下連雀9-5-51","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56114849","35.68555700"
"三鷹台児童公園","","東京都三鷹市井の頭1-3-26","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.59160522","35.68982936"
"三鷹台やすらぎ児童公園","","東京都三鷹市井の頭1-10-2","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.58997969","35.68909120"
"牟礼の里公園","","東京都三鷹市牟礼3-7-7","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.58205297","35.68903319"
"牟礼ひばり野児童公園","","東京都三鷹市牟礼7-3-17","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57535818","35.68286961"
"新川あおやぎ公園","","東京都三鷹市新川1-11-16","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57498699","35.66859131"
"新川谷端児童公園","","東京都三鷹市新川2-7-17","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57552805","35.67595779"
"丸池公園","","東京都三鷹市新川5-1-8","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57072460","35.67721952"
"仙川公園","","東京都三鷹市新川6-7-1","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56889855","35.67993657"
"新川児童公園","","東京都三鷹市新川6-26-12","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56734129","35.68233226"
"中仙川児童公園","","東京都三鷹市中原2-8-14","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57306023","35.66674716"
"中原児童公園","","東京都三鷹市中原4-8-36","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56922605","35.66440562"
"中原雑木林公園","","東京都三鷹市中原4-26-14","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56665565","35.66462773"
"北野中央公園","","東京都三鷹市北野3-6-45","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.58069872","35.67554198"
"北野こりす公園","","東京都三鷹市北野3-9-6","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.58049964","35.67804939"
"北野公園","","東京都三鷹市北野3-12-26","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57809076","35.67759838"
"野崎かきの木児童公園","","東京都三鷹市野崎3-8-1","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.54316594","35.68244150"
"東野児童公園","","東京都三鷹市深大寺2-6-8","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.54442235","35.68939105"
"深大寺公園","","東京都三鷹市深大寺3-15-1","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.53491713","35.69019920"
"大沢雑木林公園","","東京都三鷹市大沢1-11-18","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.53992829","35.67552279"
"堀合遊歩道","","東京都三鷹市上連雀1","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.55091412","35.70375031"
"下連雀いこいの広場","","東京都三鷹市下連雀8-4-22","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.56720967","35.68555939"
"大沢緑地","","東京都三鷹市大沢2-12-16","","","","","環境関連施設","都市公園・広場","都市公園・広場","139.53200940","35.67951723"
"三鷹駅南口東駐輪場（定期）（一時）","","東京都三鷹市下連雀3-15-3","0422-40-7500","","http://www.mitaka.ne.jp/facilities/bicycle_parking/higasi.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56261122","35.70156136"
"三鷹駅南口西駐輪場（定期）（一時）","","東京都三鷹市下連雀3-44-17エルヴェ三鷹地下1階","0422-79-3955","","http://www.mitaka.ne.jp/facilities/bicycle_parking/nishi.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55967645","35.70199714"
